number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
94,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:26:51.163698,2025-09-01T18:27:29.947663,38.783965,0.283447094003333,0.46434052400810033,0.02890569353863599,50.0,penalized,2.2845371729047486,,,,
95,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:27:29.957862,2025-09-01T18:28:08.856417,38.898555,0.7098199290405751,0.32416593166497426,0.009613109404470181,50.0,penalized,1.0167474300936516,,,,
96,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:28:08.867023,2025-09-01T18:28:47.745934,38.878911,0.47629931529733815,0.5281910645280922,0.0710204568699623,50.0,penalized,6.292387628488827,,,,
97,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:28:47.756944,2025-09-01T18:29:26.508209,38.751265,0.6309130888148528,0.04010414163334011,0.008389068378655998,50.0,penalized,1.0050261827279452,,,,
98,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:29:26.518217,2025-09-01T18:30:05.223374,38.705157,0.2796789704659576,0.258230286522433,0.017808326288739067,50.0,penalized,1.0062408242019802,,,,
99,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:30:05.233981,2025-09-01T18:30:43.815829,38.581848,0.605227523135978,0.2681279445084428,0.01854565009747748,50.0,penalized,2.8717002118019272,,,,
100,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:30:43.825839,2025-09-01T18:31:22.507773,38.681934,0.26977352848322483,0.5984173841690406,0.07640737108201032,50.0,penalized,1.3408447858481423,,,,
101,COMPLETE,"[2.0, 3.112192465264335]",2025-09-01T18:31:22.517631,2025-09-01T18:39:53.570004,511.052373,0.009627674964483203,0.30556788102384014,0.011206038574434453,50.0,passed,0.8564219503921073,2.0,1.0,3.0,3.112192465264335
102,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:39:53.581014,2025-09-01T18:40:32.324633,38.743619,0.34208335822632724,0.16557461757483657,0.02441448706025676,50.0,penalized,1.0046730860429158,,,,
103,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:40:32.335194,2025-09-01T18:41:11.223079,38.887885,0.6309180145095178,0.4959590876886059,0.01854565009747748,50.0,penalized,1.8808718550676546,,,,
104,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:41:11.233087,2025-09-01T18:41:50.000717,38.76763,0.1863017233003773,0.15648073105986263,0.010907840833562273,50.0,penalized,1.5740372086169931,,,,
105,COMPLETE,"[6.0, 2.540959231889861]",2025-09-01T18:41:50.011584,2025-09-01T18:50:21.012247,511.000663,0.018684106259104195,0.5860905906566735,0.07974015671441816,50.0,passed,0.8551709630606883,6.0,1.0,7.0,2.540959231889861
106,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:50:21.022257,2025-09-01T18:50:59.899941,38.877684,0.1749167230619044,0.41537201461982776,0.011981637023630965,50.0,penalized,1.0061858795820724,,,,
107,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:50:59.910354,2025-09-01T18:51:38.726880,38.816526,0.17317177653535573,0.5934064674885936,0.0695836976959278,50.0,penalized,1.0151049429740644,,,,
108,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:51:38.738233,2025-09-01T18:52:17.539339,38.801106,0.49570621782428514,0.42101370975144653,0.08416426920395984,50.0,penalized,4.267854234496686,,,,
109,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:52:17.549418,2025-09-01T18:52:56.343819,38.794401,0.37882265718613994,0.5206007338248917,0.049121051221580996,50.0,penalized,1.8434613749460615,,,,
110,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:52:56.353827,2025-09-01T18:53:35.127378,38.773551,0.6309130888148528,0.2537599461156286,0.008389068378655998,50.0,penalized,1.0058304449413111,,,,
111,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:53:35.137783,2025-09-01T18:54:13.968919,38.831136,0.24649933590490028,0.07154234283618328,0.03064958551208621,50.0,penalized,1.004996444620687,,,,
112,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:54:13.979678,2025-09-01T18:54:52.763879,38.784201,0.5767119787828915,0.25337223734457004,0.0695836976959278,50.0,penalized,12.895761488191946,,,,
113,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:54:52.774218,2025-09-01T18:55:31.606364,38.832146,0.5312515052101776,0.4836719705243989,0.031347538276394644,50.0,penalized,2.6675514938681366,,,,
114,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:55:31.616736,2025-09-01T18:56:10.484633,38.867897,0.541827695781027,0.3486823977672208,0.03661053526758246,50.0,penalized,5.499256074361421,,,,
115,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:56:10.495158,2025-09-01T18:56:49.193037,38.697879,0.7122207109936949,0.10167380407080019,0.07974015671441816,50.0,penalized,1.00630923526697,,,,
116,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:56:49.203572,2025-09-01T18:57:28.152557,38.948985,0.1749167230619044,0.25337223734457004,0.0695836976959278,50.0,penalized,1.0066325757392334,,,,
117,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:57:28.162931,2025-09-01T18:58:07.020538,38.857607,0.5333254073037169,0.4640439513542001,0.019050865827461665,50.0,penalized,4.084347439755352,,,,
118,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:58:07.030922,2025-09-01T18:58:45.766702,38.73578,0.14856338686429105,0.46747269110486717,0.04092204150920077,50.0,penalized,1.0100454656717783,,,,
119,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:58:45.776527,2025-09-01T18:59:24.633767,38.85724,0.5333254073037169,0.4640439513542001,0.08175115637578934,50.0,penalized,4.170449775799106,,,,
120,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:59:24.644048,2025-09-01T19:00:03.341888,38.69784,0.785307418280966,0.36436868343139195,0.052645459525229296,50.0,penalized,3.76110259240461,,,,
121,COMPLETE,"[-5.0, -5.0]",2025-09-01T19:00:03.352468,2025-09-01T19:00:42.136172,38.783704,0.5692551332710793,0.4168246453306777,0.09167583030765596,50.0,penalized,1.3548184023475889,,,,
122,COMPLETE,"[6.0, 2.6450650793590467]",2025-09-01T19:00:42.146780,2025-09-01T19:09:13.993321,511.846541,0.018684106259104195,0.4959590876886059,0.08796769214748519,50.0,passed,0.8578853657067711,6.0,1.0,7.0,2.6450650793590467
123,COMPLETE,"[-5.0, -5.0]",2025-09-01T19:09:14.006333,2025-09-01T19:09:52.847886,38.841553,0.26977352848322483,0.3411521536036928,0.0710204568699623,50.0,penalized,1.0129473577932024,,,,
