number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
129,COMPLETE,"[3.0, 0.35353876822666697]",2025-10-11T04:15:57.319634,2025-10-11T04:23:52.000864,474.68123,0.35387447712437525,0.40282904680377923,0.001,50.0
130,COMPLETE,"[16.0, 1.3787105865750648]",2025-10-11T04:23:52.010873,2025-10-11T04:31:47.318628,475.307755,0.14133574872744947,0.01,0.001,50.0
131,COMPLETE,"[112.0, 6.09765510925715]",2025-10-11T04:31:47.329638,2025-10-11T04:39:43.254026,475.924388,0.04706225447870125,0.10752097701055756,0.007821812047364284,50.0
132,COMPLETE,"[17.0, 0.25098144607587725]",2025-10-11T04:39:43.265035,2025-10-11T04:47:39.398801,476.133766,0.2803672341722348,0.01,0.001,50.0
133,COMPLETE,"[156.0, 5.276262837733357]",2025-10-11T04:47:39.408810,2025-10-11T04:55:35.083532,475.674722,0.03921109169624028,0.07855013622094224,0.002695654002459702,50.0
134,COMPLETE,"[61.0, 6.1192754556345275]",2025-10-11T04:55:35.094542,2025-10-11T05:03:30.938510,475.843968,0.059802677727079666,0.059658673927306505,0.008,50.0
135,COMPLETE,"[108.0, 5.954512308052228]",2025-10-11T05:03:30.950520,2025-10-11T05:11:26.478098,475.527578,0.047460340684177385,0.07383347213263826,0.00775374414155428,50.0
136,COMPLETE,"[70.0, 6.335250009909753]",2025-10-11T05:11:26.488107,2025-10-11T05:19:22.267515,475.779408,0.05426293818325127,0.10376737845206531,0.008,50.0
137,COMPLETE,"[123.0, 5.958302432904292]",2025-10-11T05:19:22.278525,2025-10-11T05:27:18.753226,476.474701,0.04607428812484116,0.09816275147316163,0.0070684932984213964,50.0
138,COMPLETE,"[5.0, 0.93067286571679]",2025-10-11T05:27:18.763234,2025-10-11T05:35:14.446826,475.683592,0.5,0.4323082856147474,0.001,50.0
139,COMPLETE,"[125.0, 5.951734020319588]",2025-10-11T05:35:14.456834,2025-10-11T05:43:10.626476,476.169642,0.04576467274587445,0.08841064020445376,0.006839905394695243,50.0
140,COMPLETE,"[142.0, 5.657017064497609]",2025-10-11T05:43:10.637486,2025-10-11T05:51:06.451827,475.814341,0.04252244154731417,0.07850566574499705,0.004852064828193437,50.0
