number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
105,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:29:52.470460,2025-08-29T16:30:32.328702,39.858242,0.48203377109775064,0.53883814567518,0.00629023466150719,20.0,penalized,1.0094132490392986,,,,
106,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:30:32.339378,2025-08-29T16:31:12.139788,39.80041,0.15141203791310398,0.5572991960181867,0.006892898137250616,20.0,penalized,4.983967607874778,,,,
107,COMPLETE,"[5.0, 3.650252181697461]",2025-08-29T16:31:12.150556,2025-08-29T16:39:57.119484,524.968928,0.06023544558388566,0.47997144690226023,0.004613675839682609,20.0,passed,0.8457019208643719,5.0,1.0,6.0,3.650252181697461
108,COMPLETE,"[3.0, 3.6753034566721094]",2025-08-29T16:39:57.132495,2025-08-29T16:48:39.641965,522.50947,0.06104004227539345,0.5476276211219836,0.007320822976500409,20.0,passed,0.8429697051409555,3.0,1.0,4.0,3.6753034566721094
109,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:48:39.654977,2025-08-29T16:49:19.734783,40.079806,0.37717625911639535,0.5572991960181867,0.006038596261993752,20.0,penalized,1.0131744712692128,,,,
110,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:49:19.745793,2025-08-29T16:49:59.770438,40.024645,0.47479060115567273,0.5221707502656582,0.005679011085624679,20.0,penalized,1.0114690059865432,,,,
111,COMPLETE,"[4.0, 3.0490110127874863]",2025-08-29T16:49:59.780880,2025-08-29T16:58:43.255446,523.474566,0.030903340581500516,0.239365618407654,0.004613675839682609,20.0,passed,0.8638341419949583,4.0,1.0,5.0,3.0490110127874863
112,COMPLETE,"[3.0, 2.8739540300176847]",2025-08-29T16:58:43.267457,2025-08-29T17:07:25.623112,522.355655,0.030903340581500516,0.5572991960181867,0.006902200311560514,20.0,passed,0.8603818576430863,3.0,1.0,4.0,2.8739540300176847
113,COMPLETE,"[-5.0, -5.0]",2025-08-29T17:07:25.635122,2025-08-29T17:08:05.240978,39.605856,0.4478858433853726,0.18521141270689095,0.0049996240875250795,20.0,penalized,1.0287573209053065,,,,
114,COMPLETE,"[-5.0, -5.0]",2025-08-29T17:08:05.250987,2025-08-29T17:08:45.113115,39.862128,0.1366771379682013,0.5767118518207464,0.005217458825348792,20.0,penalized,1.016288594255114,,,,
115,COMPLETE,"[-5.0, -5.0]",2025-08-29T17:08:45.123143,2025-08-29T17:09:24.879387,39.756244,0.27179867076161995,0.27244112699774525,0.002696069151574147,20.0,penalized,3.9546083974089346,,,,
116,COMPLETE,"[-5.0, -5.0]",2025-08-29T17:09:24.890850,2025-08-29T17:10:04.808791,39.917941,0.2673174428810177,0.5767118518207464,0.005217458825348792,20.0,penalized,1.677271435638743,,,,
