number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_GR,attr_KR,attr_morph_type
123,COMPLETE,"[138.0, 5.949113609594834]",2025-07-21T09:13:49.131360,2025-07-21T09:21:50.819432,481.688072,0.051417117678565105,0.1508530214279542,0.008,43.75673561995022,24.0,162.0,uniform
124,COMPLETE,"[143.0, 3.2048880976984235]",2025-07-21T09:21:50.829413,2025-07-21T09:30:13.298626,502.469213,0.06651295989156941,0.01,0.008,24.756068699267704,2.0,145.0,uniform
125,COMPLETE,"[159.0, 5.074426936379417]",2025-07-21T09:30:13.307235,2025-07-21T09:38:42.047002,508.739767,0.08373215905116015,0.28680429943151076,0.008,22.704781153923648,17.0,176.0,uniform
126,COMPLETE,"[138.0, 4.712943373884833]",2025-07-21T09:38:42.055765,2025-07-21T09:47:21.755087,519.699322,0.07151626555184812,0.6,0.008,28.40094237340004,20.0,158.0,uniform
127,COMPLETE,"[133.0, 4.231387013202826]",2025-07-21T09:47:21.766042,2025-07-21T09:56:21.699169,539.933127,0.03261818777316487,0.6,0.008,42.54884228325331,2.0,135.0,uniform
128,COMPLETE,"[167.0, 3.567440278590256]",2025-07-21T09:56:21.708207,2025-07-21T10:04:53.906359,512.198152,0.043953295106205166,0.3343431972551882,0.008,21.603210543022414,1.0,168.0,uniform
129,COMPLETE,"[150.0, 4.373073472966132]",2025-07-21T10:04:53.915938,2025-07-21T10:13:21.365236,507.449298,0.03841909689799338,0.1561406002455433,0.001,41.088663080363034,4.0,154.0,uniform
130,COMPLETE,"[156.0, 4.900879111019242]",2025-07-21T10:13:21.373795,2025-07-21T10:21:50.296046,508.922251,0.04160052573287838,0.11538499437477147,0.001,47.87761574954399,8.0,164.0,uniform
131,COMPLETE,"[146.0, 3.1470322326564686]",2025-07-21T10:21:50.305133,2025-07-21T10:30:21.890358,511.585225,0.09073012721941404,0.01,0.008,20.728287503178404,4.0,150.0,uniform
132,COMPLETE,"[169.0, 5.178839802458079]",2025-07-21T10:30:21.899459,2025-07-21T10:38:50.668638,508.769179,0.043278389426132866,0.082174913457316,0.008,37.22884408831937,4.0,173.0,uniform
133,COMPLETE,"[177.0, 5.325273945949818]",2025-07-21T10:38:50.677789,2025-07-21T10:47:18.077075,507.399286,0.08611763878517169,0.08453991217584493,0.008,21.455008461607665,8.0,185.0,uniform
134,COMPLETE,"[170.0, 3.6229680042307124]",2025-07-21T10:47:18.088197,2025-07-21T10:55:44.540745,506.452548,0.09157616302081625,0.6,0.001,20.0,14.0,184.0,uniform
135,COMPLETE,"[170.0, 3.4770484307908647]",2025-07-21T10:55:44.554563,2025-07-21T11:04:04.884262,500.329699,0.075699011694175,0.4379806379721157,0.001,20.0,5.0,175.0,uniform
136,COMPLETE,"[164.0, 3.07768785420828]",2025-07-21T11:04:04.895914,2025-07-21T11:12:25.817027,500.921113,0.06786344961180969,0.6,0.001,20.0,2.0,166.0,uniform
137,COMPLETE,"[163.0, 4.466967197963006]",2025-07-21T11:12:25.826295,2025-07-21T11:20:45.598864,499.772569,0.0835451267886396,0.5293808457173983,0.008,20.0,6.0,169.0,uniform
138,COMPLETE,"[99.0, 4.7728991758514345]",2025-07-21T11:20:45.607705,2025-07-21T11:29:07.024672,501.416967,0.1172260326884624,0.6,0.008,20.0,72.0,171.0,uniform
139,COMPLETE,"[161.0, 2.0980554073023967]",2025-07-21T11:29:07.033706,2025-07-21T11:37:55.057780,528.024074,0.13120564134547533,0.01,0.008,43.40540031966137,35.0,196.0,uniform
