number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
355,28.0,2.9008078185351738,0.012748062481586112,0.0571877425152333,0.005288612874870094,0.45280749994882175,24.2354389689629,380
357,53.0,5.692507669043028,0.053785947817175044,0.2741079299398312,0.004503957254295709,0.3496207137031825,47.89790526661749,248
358,4.0,4.9550352194135465,0.07956254844284566,0.0571877425152333,0.0011387350830409423,0.4331340339328041,25.75833575464257,388
359,78.0,5.35817971070249,0.069274461903986,0.3875693695463503,0.005884523604555656,0.4331340339328041,37.58409019257157,315
360,49.0,3.8553465519779175,0.069274461903986,0.7335737714705247,0.004967172151485607,0.35896609874010066,45.54284233747276,387
361,21.0,4.866506682798628,0.06946516250523027,0.4220221240530778,0.002464691757491659,0.3008625837860375,46.6994379533585,150
362,12.0,4.752964007403563,0.037761773751946934,0.2066065579973644,0.002464691757491659,0.3158449143626015,46.6994379533585,150
363,98.0,3.2278279953571514,0.02964312761619531,0.5883604670826516,0.005884523604555656,0.4331340339328041,25.75833575464257,388
364,112.0,3.6689643558369642,0.017005257078706242,0.3875693695463503,0.005263302416213085,0.4837945426144974,40.66463236801917,315
365,1.0,5.125554867000408,0.05432498733423014,0.11480444617254089,0.0012604962273933221,0.4717749505104731,39.177358089441995,104
366,106.0,2.916288674063093,0.012748062481586112,0.32335030067424814,0.002955841011151792,0.38403594368410954,34.77097777289335,380
367,17.0,4.023902561407896,0.08576806192246061,0.673256050183438,0.0023546242207500966,0.3158449143626015,27.68155756043933,150
369,116.0,2.5737229869306812,0.017005257078706242,0.5002000711050099,0.004544691304773046,0.4331340339328041,20.71017850645178,388
